job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
3,w0,D_4_3622,575.000000,4,10800.000000,1,COMPLETED_SUCCESSFULLY,575.001800,3622.000000,4197.001800,0.001800,3622.001800,1.000000,2-5,-1.000000,""
9,w0,D_16_550,4208.000000,16,21600.000000,1,COMPLETED_SUCCESSFULLY,4208.001800,550.000000,4758.001800,0.001800,550.001800,1.000003,2-5 395-406,-1.000000,""
11,w0,D_1_702,4275.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4275.001800,702.000000,4977.001800,0.001800,702.001800,1.000003,407,-1.000000,""
34,w0,D_8_285,4793.000000,8,21600.000000,1,COMPLETED_SUCCESSFULLY,4793.001800,285.000000,5078.001800,0.001800,285.001800,1.000006,3-5 507-511,-1.000000,""
31,w0,D_1_594,4758.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4758.001800,594.000000,5352.001800,0.001800,594.001800,1.000003,502,-1.000000,""
12,w0,D_1_1386,4324.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4324.001800,1386.000000,5710.001800,0.001800,1386.001800,1.000001,408,-1.000000,""
29,w0,D_1_1212,4726.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4726.001800,1212.000000,5938.001800,0.001800,1212.001800,1.000001,497,-1.000000,""
32,w0,D_1_1262,4770.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,4770.001800,1262.000000,6032.001800,0.001800,1262.001800,1.000001,2,-1.000000,""
30,w0,D_4_1475,4732.000000,4,32400.000000,1,COMPLETED_SUCCESSFULLY,4732.001800,1475.000000,6207.001800,0.001800,1475.001800,1.000001,498-501,-1.000000,""
38,w0,D_4_1248,4837.000000,4,32400.000000,1,COMPLETED_SUCCESSFULLY,5078.004000,1248.000000,6326.004000,241.004000,1489.004000,1.193112,3-5 507,-1.000000,""
46,w0,D_1_1612,4901.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5352.004000,1612.000000,6964.004000,451.004000,2063.004000,1.279779,502,-1.000000,""
23,w0,D_16_2401,4627.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,4627.001800,2401.000000,7028.001800,0.001800,2401.001800,1.000001,479-494,-1.000000,""
43,w0,D_1_1988,4883.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5078.005800,1988.000000,7066.005800,195.005800,2183.005800,1.098091,510,-1.000000,""
56,w0,D_1_895,4977.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6207.005800,895.000000,7102.005800,1230.005800,2125.005800,2.374308,501,-1.000000,""
48,w0,D_1_1194,4914.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5938.004000,1194.000000,7132.004000,1024.004000,2218.004000,1.857625,497,-1.000000,""
40,w0,D_1_2421,4863.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5078.005200,2421.000000,7499.005200,215.005200,2636.005200,1.088808,509,-1.000000,""
24,w0,D_1_3116,4637.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4637.001800,3116.000000,7753.001800,0.001800,3116.001800,1.000001,495,-1.000000,""
51,w0,D_1_1582,4938.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6207.004000,1582.000000,7789.004000,1269.004000,2851.004000,1.802152,498,-1.000000,""
42,w0,D_16_961,4876.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,7028.004000,961.000000,7989.004000,2152.004000,3113.004000,3.239338,479-494,-1.000000,""
47,w0,D_1_2311,4910.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5710.004000,2311.000000,8021.004000,800.004000,3111.004000,1.346172,408,-1.000000,""
39,w0,D_1_3106,4860.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5078.004600,3106.000000,8184.004600,218.004600,3324.004600,1.070188,508,-1.000000,""
53,w0,D_1_1993,4951.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6207.005200,1993.000000,8200.005200,1256.005200,3249.005200,1.630208,500,-1.000000,""
25,w0,D_1_3889,4659.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4659.001800,3889.000000,8548.001800,0.001800,3889.001800,1.000000,496,-1.000000,""
58,w0,D_2_2228,4991.000000,2,32400.000000,1,COMPLETED_SUCCESSFULLY,6326.006800,2228.000000,8554.006800,1335.006800,3563.006800,1.599195,4-5,-1.000000,""
63,w0,D_1_1601,5039.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,7066.008000,1601.000000,8667.008000,2027.008000,3628.008000,2.266089,510,-1.000000,""
14,w0,D_1_4356,4348.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4348.001800,4356.000000,8704.001800,0.001800,4356.001800,1.000000,409,-1.000000,""
52,w0,D_1_2501,4941.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6207.004600,2501.000000,8708.004600,1266.004600,3767.004600,1.506199,499,-1.000000,""
59,w0,D_1_2442,4999.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6326.007400,2442.000000,8768.007400,1327.007400,3769.007400,1.543410,507,-1.000000,""
62,w0,D_1_1857,5027.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6964.006200,1857.000000,8821.006200,1937.006200,3794.006200,2.043084,502,-1.000000,""
44,w0,D_16_1289,4889.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,7989.006200,1289.000000,9278.006200,3100.006200,4389.006200,3.404970,479-494,-1.000000,""
18,w0,D_32_5218,4498.000000,32,32400.000000,1,COMPLETED_SUCCESSFULLY,4498.001800,5218.000000,9716.001800,0.001800,5218.001800,1.000000,443-474,-1.000000,""
19,w0,D_1_5277,4528.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4528.001800,5277.000000,9805.001800,0.001800,5277.001800,1.000000,475,-1.000000,""
15,w0,D_1_5619,4360.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4360.001800,5619.000000,9979.001800,0.001800,5619.001800,1.000000,410,-1.000000,""
75,w0,D_1_2498,5123.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,7499.007400,2498.000000,9997.007400,2376.007400,4874.007400,1.951164,509,-1.000000,""
104,w0,D_1_8,6545.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,9997.009600,8.000000,10005.009600,3452.009600,3460.009600,432.501200,509,-1.000000,""
105,w0,D_1_143,6622.000000,1,43200.000000,1,COMPLETED_SUCCESSFULLY,10005.011800,143.000000,10148.011800,3383.011800,3526.011800,24.657425,509,-1.000000,""
106,w0,D_1_94,6632.000000,1,43200.000000,1,COMPLETED_SUCCESSFULLY,10148.014000,94.000000,10242.014000,3516.014000,3610.014000,38.404404,509,-1.000000,""
108,w0,D_1_103,6653.000000,1,43200.000000,1,COMPLETED_SUCCESSFULLY,10242.016200,103.000000,10345.016200,3589.016200,3692.016200,35.844817,509,-1.000000,""
87,w0,D_1_1825,5412.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8554.009600,1825.000000,10379.009600,3142.009600,4967.009600,2.721649,5,-1.000000,""
22,w0,D_1_5996,4614.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4614.001800,5996.000000,10610.001800,0.001800,5996.001800,1.000000,478,-1.000000,""
57,w0,D_1_4714,4991.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6326.006200,4714.000000,11040.006200,1335.006200,6049.006200,1.283200,3,-1.000000,""
85,w0,D_1_2541,5326.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8548.004000,2541.000000,11089.004000,3222.004000,5763.004000,2.268006,496,-1.000000,""
80,w0,D_1_3034,5189.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8200.007400,3034.000000,11234.007400,3011.007400,6045.007400,1.992422,500,-1.000000,""
95,w0,D_1_2651,5682.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8821.008400,2651.000000,11472.008400,3139.008400,5790.008400,2.184085,502,-1.000000,""
49,w0,D_1_5486,4923.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6032.004000,5486.000000,11518.004000,1109.004000,6595.004000,1.202152,2,-1.000000,""
94,w0,D_1_2790,5652.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8768.009600,2790.000000,11558.009600,3116.009600,5906.009600,2.116849,507,-1.000000,""
127,w0,D_1_272,7952.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,11518.006200,272.000000,11790.006200,3566.006200,3838.006200,14.110317,2,-1.000000,""
90,w0,D_1_3216,5529.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8704.004000,3216.000000,11920.004000,3175.004000,6391.004000,1.987252,409,-1.000000,""
131,w0,D_1_46,8323.000000,1,600.000000,1,COMPLETED_SUCCESSFULLY,11920.006200,46.000000,11966.006200,3597.006200,3643.006200,79.195787,409,-1.000000,""
121,w0,D_1_991,7880.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,11040.008400,991.000000,12031.008400,3160.008400,4151.008400,4.188707,3,-1.000000,""
36,w0,D_32_2379,4818.000000,32,79200.000000,1,COMPLETED_SUCCESSFULLY,9716.004000,2379.000000,12095.004000,4898.004000,7277.004000,3.058850,443-474,-1.000000,""
123,w0,D_1_1017,7906.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,11089.006200,1017.000000,12106.006200,3183.006200,4200.006200,4.129800,496,-1.000000,""
137,w0,D_1_19,9606.000000,1,1800.000000,1,COMPLETED_SUCCESSFULLY,12106.008400,19.000000,12125.008400,2500.008400,2519.008400,132.579389,496,-1.000000,""
140,w0,D_1_52,9730.000000,1,1800.000000,1,COMPLETED_SUCCESSFULLY,12125.010600,52.000000,12177.010600,2395.010600,2447.010600,47.057896,496,-1.000000,""
54,w0,D_16_3196,4957.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,9278.008400,3196.000000,12474.008400,4321.008400,7517.008400,2.352005,479-494,-1.000000,""
129,w0,D_1_695,7970.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,11790.008400,695.000000,12485.008400,3820.008400,4515.008400,6.496415,2,-1.000000,""
20,w0,D_1_7927,4561.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4561.001800,7927.000000,12488.001800,0.001800,7927.001800,1.000000,476,-1.000000,""
149,w0,D_1_162,9900.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,12485.010600,162.000000,12647.010600,2585.010600,2747.010600,16.956856,2,-1.000000,""
133,w0,D_1_734,9418.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,11966.008400,734.000000,12700.008400,2548.008400,3282.008400,4.471401,409,-1.000000,""
115,w0,D_1_2447,7789.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,10345.018400,2447.000000,12792.018400,2556.018400,5003.018400,2.044552,509,-1.000000,""
