time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.00240003,0,0,0,511,1
50.0024,0,0,0,510,2
575.002,0,0,0,506,6
728.002,0,0,0,378,134
2533,0,0,0,377,135
2589,0,0,0,375,137
2601,0,0,0,373,139
2618,0,0,0,117,395
4197,0,0,0,121,391
4208,0,0,0,105,407
4275,0,0,0,104,408
4324,0,0,0,103,409
4348,0,0,0,102,410
4360,0,0,0,101,411
4429,0,0,0,69,443
4498,0,0,0,37,475
4528,0,0,0,36,476
4561,0,0,0,35,477
4567,0,0,0,34,478
4614,0,0,0,33,479
4627,0,0,0,17,495
4637,0,0,0,16,496
4659,0,0,0,15,497
4726,0,0,0,14,498
4732,0,0,0,10,502
4758,0,0,0,26,486
4758,0,0,0,25,487
4758,0,0,0,9,503
4770,0,0,0,8,504
4793,0,0,0,0,512
4977,0,0,0,1,511
4977,0,0,0,0,512
5078,0,0,0,8,504
5078,0,0,0,4,508
5078,0,0,0,3,509
5078.01,0,0,0,2,510
5078.01,0,0,0,1,511
5078.01,0,0,0,0,512
5352,0,0,0,1,511
5352,0,0,0,0,512
5710,0,0,0,1,511
5710,0,0,0,0,512
5938,0,0,0,1,511
5938,0,0,0,0,512
6032,0,0,0,1,511
6032,0,0,0,0,512
6207,0,0,0,4,508
6207,0,0,0,3,509
6207,0,0,0,2,510
6207.01,0,0,0,1,511
6207.01,0,0,0,0,512
6326,0,0,0,4,508
6326.01,0,0,0,3,509
6326.01,0,0,0,1,511
6326.01,0,0,0,0,512
6964,0,0,0,1,511
6964.01,0,0,0,0,512
7028,0,0,0,16,496
7028,0,0,0,0,512
7066.01,0,0,0,1,511
7066.01,0,0,0,0,512
7102.01,0,0,0,1,511
7102.01,0,0,0,0,512
7132,0,0,0,1,511
7132.01,0,0,0,0,512
7499.01,0,0,0,1,511
7499.01,0,0,0,0,512
7753,0,0,0,1,511
7753,0,0,0,0,512
7789,0,0,0,1,511
7789.01,0,0,0,0,512
7989,0,0,0,16,496
7989.01,0,0,0,0,512
8021,0,0,0,1,511
8021.01,0,0,0,0,512
8184,0,0,0,1,511
8184.01,0,0,0,0,512
8200.01,0,0,0,1,511
8200.01,0,0,0,0,512
8548,0,0,0,1,511
8548,0,0,0,0,512
8554.01,0,0,0,2,510
8554.01,0,0,0,1,511
8554.01,0,0,0,0,512
8667.01,0,0,0,1,511
8667.01,0,0,0,0,512
8704,0,0,0,1,511
8704,0,0,0,0,512
8708,0,0,0,1,511
8708.01,0,0,0,0,512
8768.01,0,0,0,1,511
8768.01,0,0,0,0,512
8821.01,0,0,0,1,511
8821.01,0,0,0,0,512
9278.01,0,0,0,16,496
9278.01,0,0,0,0,512
9716,0,0,0,32,480
9716,0,0,0,0,512
9805,0,0,0,1,511
9805,0,0,0,0,512
9979,0,0,0,1,511
9979,0,0,0,0,512
9997.01,0,0,0,1,511
9997.01,0,0,0,0,512
10005,0,0,0,1,511
10005,0,0,0,0,512
10148,0,0,0,1,511
10148,0,0,0,0,512
10242,0,0,0,1,511
10242,0,0,0,0,512
10345,0,0,0,1,511
10345,0,0,0,0,512
10379,0,0,0,1,511
10379,0,0,0,0,512
10610,0,0,0,1,511
10610,0,0,0,0,512
11040,0,0,0,1,511
11040,0,0,0,0,512
11089,0,0,0,1,511
11089,0,0,0,0,512
11234,0,0,0,1,511
