job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
3,w0,D_4_3622,575.000000,4,10800.000000,1,COMPLETED_SUCCESSFULLY,575.001800,3622.000000,4197.001800,0.001800,3622.001800,1.000000,2-5,-1.000000,""
9,w0,D_16_550,4208.000000,16,21600.000000,1,COMPLETED_SUCCESSFULLY,4208.001800,550.000000,4758.001800,0.001800,550.001800,1.000003,2-5 395-406,-1.000000,""
11,w0,D_1_702,4275.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4275.001800,702.000000,4977.001800,0.001800,702.001800,1.000003,663,-1.000000,""
34,w0,D_8_285,4793.000000,8,21600.000000,1,COMPLETED_SUCCESSFULLY,4793.001800,285.000000,5078.001800,0.001800,285.001800,1.000006,1336-1343,-1.000000,""
10,w0,D_256_1108,4215.000000,256,21600.000000,1,COMPLETED_SUCCESSFULLY,4215.001800,1108.000000,5323.001800,0.001800,1108.001800,1.000002,407-662,-1.000000,""
31,w0,D_1_594,4758.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4758.001800,594.000000,5352.001800,0.001800,594.001800,1.000003,1222,-1.000000,""
12,w0,D_1_1386,4324.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4324.001800,1386.000000,5710.001800,0.001800,1386.001800,1.000001,664,-1.000000,""
42,w0,D_16_961,4876.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,4876.001800,961.000000,5837.001800,0.001800,961.001800,1.000002,1895-1910,-1.000000,""
56,w0,D_1_895,4977.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4977.001800,895.000000,5872.001800,0.001800,895.001800,1.000002,2336,-1.000000,""
29,w0,D_1_1212,4726.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4726.001800,1212.000000,5938.001800,0.001800,1212.001800,1.000001,1217,-1.000000,""
69,w0,D_16_924,5065.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,5065.001800,924.000000,5989.001800,0.001800,924.001800,1.000002,2468-2483,-1.000000,""
17,w0,D_128_1504,4494.000000,128,32400.000000,1,COMPLETED_SUCCESSFULLY,4494.001800,1504.000000,5998.001800,0.001800,1504.001800,1.000001,827-954,-1.000000,""
32,w0,D_1_1262,4770.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,4770.001800,1262.000000,6032.001800,0.001800,1262.001800,1.000001,2,-1.000000,""
38,w0,D_4_1248,4837.000000,4,32400.000000,1,COMPLETED_SUCCESSFULLY,4837.001800,1248.000000,6085.001800,0.001800,1248.001800,1.000001,1633-1636,-1.000000,""
48,w0,D_1_1194,4914.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4914.001800,1194.000000,6108.001800,0.001800,1194.001800,1.000002,1931,-1.000000,""
65,w0,D_8_1063,5052.000000,8,32400.000000,1,COMPLETED_SUCCESSFULLY,5052.001800,1063.000000,6115.001800,0.001800,1063.001800,1.000002,2411-2418,-1.000000,""
81,w0,D_64_962,5209.000000,64,32400.000000,1,COMPLETED_SUCCESSFULLY,5209.001800,962.000000,6171.001800,0.001800,962.001800,1.000002,3282-3345,-1.000000,""
44,w0,D_16_1289,4889.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,4889.001800,1289.000000,6178.001800,0.001800,1289.001800,1.000001,1912-1927,-1.000000,""
30,w0,D_4_1475,4732.000000,4,32400.000000,1,COMPLETED_SUCCESSFULLY,4732.001800,1475.000000,6207.001800,0.001800,1475.001800,1.000001,1218-1221,-1.000000,""
50,w0,D_128_1422,4928.000000,128,32400.000000,1,COMPLETED_SUCCESSFULLY,4928.001800,1422.000000,6350.001800,0.001800,1422.001800,1.000001,1933-2060,-1.000000,""
61,w0,D_4_1469,5016.000000,4,32400.000000,1,COMPLETED_SUCCESSFULLY,5016.001800,1469.000000,6485.001800,0.001800,1469.001800,1.000001,2404-2407,-1.000000,""
37,w0,D_256_1679,4821.000000,256,32400.000000,1,COMPLETED_SUCCESSFULLY,4821.001800,1679.000000,6500.001800,0.001800,1679.001800,1.000001,1377-1632,-1.000000,""
46,w0,D_1_1612,4901.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4901.001800,1612.000000,6513.001800,0.001800,1612.001800,1.000001,1929,-1.000000,""
51,w0,D_1_1582,4938.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4938.001800,1582.000000,6520.001800,0.001800,1582.001800,1.000001,2061,-1.000000,""
104,w0,D_1_8,6545.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,6545.001800,8.000000,6553.001800,0.001800,8.001800,1.000225,2,-1.000000,""
63,w0,D_1_1601,5039.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5039.001800,1601.000000,6640.001800,0.001800,1601.001800,1.000001,2409,-1.000000,""
106,w0,D_1_94,6632.000000,1,43200.000000,1,COMPLETED_SUCCESSFULLY,6632.001800,94.000000,6726.001800,0.001800,94.001800,1.000019,1218,-1.000000,""
107,w0,D_4_84,6643.000000,4,43200.000000,1,COMPLETED_SUCCESSFULLY,6643.001800,84.000000,6727.001800,0.001800,84.001800,1.000021,1219-1221 1377,-1.000000,""
108,w0,D_1_103,6653.000000,1,43200.000000,1,COMPLETED_SUCCESSFULLY,6653.001800,103.000000,6756.001800,0.001800,103.001800,1.000017,1378,-1.000000,""
109,w0,D_16_94,6662.000000,16,43200.000000,1,COMPLETED_SUCCESSFULLY,6662.001800,94.000000,6756.001800,0.001800,94.001800,1.000019,1379-1394,-1.000000,""
110,w0,D_128_88,6673.000000,128,43200.000000,1,COMPLETED_SUCCESSFULLY,6673.001800,88.000000,6761.001800,0.001800,88.001800,1.000020,1395-1522,-1.000000,""
105,w0,D_1_143,6622.000000,1,43200.000000,1,COMPLETED_SUCCESSFULLY,6622.001800,143.000000,6765.001800,0.001800,143.001800,1.000013,2,-1.000000,""
43,w0,D_1_1988,4883.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4883.001800,1988.000000,6871.001800,0.001800,1988.001800,1.000001,1911,-1.000000,""
62,w0,D_1_1857,5027.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5027.001800,1857.000000,6884.001800,0.001800,1857.001800,1.000001,2408,-1.000000,""
53,w0,D_1_1993,4951.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4951.001800,1993.000000,6944.001800,0.001800,1993.001800,1.000001,2063,-1.000000,""
23,w0,D_16_2401,4627.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,4627.001800,2401.000000,7028.001800,0.001800,2401.001800,1.000001,991-1006,-1.000000,""
97,w0,D_16_1178,5870.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,5870.001800,1178.000000,7048.001800,0.001800,1178.001800,1.000002,1895-1910,-1.000000,""
36,w0,D_32_2379,4818.000000,32,79200.000000,1,COMPLETED_SUCCESSFULLY,4818.001800,2379.000000,7197.001800,0.001800,2379.001800,1.000001,1345-1376,-1.000000,""
58,w0,D_2_2228,4991.000000,2,32400.000000,1,COMPLETED_SUCCESSFULLY,4991.002400,2228.000000,7219.002400,0.002400,2228.002400,1.000001,2337-2338,-1.000000,""
47,w0,D_1_2311,4910.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4910.001800,2311.000000,7221.001800,0.001800,2311.001800,1.000001,1930,-1.000000,""
73,w0,D_256_2111,5115.000000,256,32400.000000,1,COMPLETED_SUCCESSFULLY,5115.001800,2111.000000,7226.001800,0.001800,2111.001800,1.000001,2764-3019,-1.000000,""
87,w0,D_1_1825,5412.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5412.001800,1825.000000,7237.001800,0.001800,1825.001800,1.000001,409,-1.000000,""
40,w0,D_1_2421,4863.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4863.001800,2421.000000,7284.001800,0.001800,2421.001800,1.000001,1638,-1.000000,""
82,w0,D_32_2034,5266.000000,32,32400.000000,1,COMPLETED_SUCCESSFULLY,5266.001800,2034.000000,7300.001800,0.001800,2034.001800,1.000001,3346-3377,-1.000000,""
59,w0,D_1_2442,4999.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4999.001800,2442.000000,7441.001800,0.001800,2442.001800,1.000001,2339,-1.000000,""
52,w0,D_1_2501,4941.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4941.001800,2501.000000,7442.001800,0.001800,2501.001800,1.000001,2062,-1.000000,""
96,w0,D_256_1754,5747.000000,256,32400.000000,1,COMPLETED_SUCCESSFULLY,5747.001800,1754.000000,7501.001800,0.001800,1754.001800,1.000001,664 3433-3687,-1.000000,""
60,w0,D_64_2553,5002.000000,64,32400.000000,1,COMPLETED_SUCCESSFULLY,5002.001800,2553.000000,7555.001800,0.001800,2553.001800,1.000001,2340-2403,-1.000000,""
75,w0,D_1_2498,5123.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5123.001800,2498.000000,7621.001800,0.001800,2498.001800,1.000001,3276,-1.000000,""
24,w0,D_1_3116,4637.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4637.001800,3116.000000,7753.001800,0.001800,3116.001800,1.000001,1007,-1.000000,""
85,w0,D_1_2541,5326.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5326.001800,2541.000000,7867.001800,0.001800,2541.001800,1.000001,407,-1.000000,""
39,w0,D_1_3106,4860.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4860.001800,3106.000000,7966.001800,0.001800,3106.001800,1.000001,1637,-1.000000,""
112,w0,D_8_251,7745.000000,8,21600.000000,1,COMPLETED_SUCCESSFULLY,7745.001800,251.000000,7996.001800,0.001800,251.001800,1.000007,409 664 1345-1350,-1.000000,""
33,w0,D_128_3313,4791.000000,128,32400.000000,1,COMPLETED_SUCCESSFULLY,4791.001800,3313.000000,8104.001800,0.001800,3313.001800,1.000001,3-5 395-406 1223-1335,-1.000000,""
54,w0,D_16_3196,4957.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,4957.001800,3196.000000,8153.001800,0.001800,3196.001800,1.000001,2064-2079,-1.000000,""
80,w0,D_1_3034,5189.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,5189.001800,3034.000000,8223.001800,0.001800,3034.001800,1.000001,3281,-1.000000,""
127,w0,D_1_272,7952.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,7952.001800,272.000000,8224.001800,0.001800,272.001800,1.000007,2789,-1.000000,""
92,w0,D_32_2635,5592.000000,32,32400.000000,1,COMPLETED_SUCCESSFULLY,5592.001800,2635.000000,8227.001800,0.001800,2635.001800,1.000001,3395-3426,-1.000000,""
111,w0,D_128_1194,7090.000000,128,60000.000000,1,COMPLETED_SUCCESSFULLY,7090.001800,1194.000000,8284.001800,0.001800,1194.001800,1.000002,2 991-1006 1218-1221 1377-1483,-1.000000,""
