time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.00240003,0,0,0,15679,1
50.0024,0,0,0,15678,2
575.002,0,0,0,15674,6
728.002,0,0,0,15546,134
2533,0,0,0,15545,135
2589,0,0,0,15543,137
2601,0,0,0,15541,139
2618,0,0,0,15285,395
4197,0,0,0,15289,391
4208,0,0,0,15273,407
4215,0,0,0,15017,663
4275,0,0,0,15016,664
4324,0,0,0,15015,665
4327,0,0,0,14887,793
4348,0,0,0,14886,794
4360,0,0,0,14885,795
4429,0,0,0,14853,827
4494,0,0,0,14725,955
4498,0,0,0,14693,987
4528,0,0,0,14692,988
4561,0,0,0,14691,989
4567,0,0,0,14690,990
4614,0,0,0,14689,991
4627,0,0,0,14673,1007
4637,0,0,0,14672,1008
4659,0,0,0,14671,1009
4680,0,0,0,14655,1025
4694,0,0,0,14527,1153
4698,0,0,0,14463,1217
4726,0,0,0,14462,1218
4732,0,0,0,14458,1222
4758,0,0,0,14474,1206
4758,0,0,0,14473,1207
4770,0,0,0,14472,1208
4791,0,0,0,14344,1336
4793,0,0,0,14336,1344
4809,0,0,0,14335,1345
4818,0,0,0,14303,1377
4821,0,0,0,14047,1633
4837,0,0,0,14043,1637
4860,0,0,0,14042,1638
4863,0,0,0,14041,1639
4863,0,0,0,13785,1895
4876,0,0,0,13769,1911
4883,0,0,0,13768,1912
4889,0,0,0,13752,1928
4897,0,0,0,13751,1929
4901,0,0,0,13750,1930
4910,0,0,0,13749,1931
4914,0,0,0,13748,1932
4923,0,0,0,13747,1933
4928,0,0,0,13619,2061
4938,0,0,0,13618,2062
4941,0,0,0,13617,2063
4951,0,0,0,13616,2064
4957,0,0,0,13600,2080
4969,0,0,0,13344,2336
4977,0,0,0,13345,2335
4977,0,0,0,13344,2336
4991,0,0,0,13343,2337
4991,0,0,0,13341,2339
4999,0,0,0,13340,2340
5002,0,0,0,13276,2404
5016,0,0,0,13272,2408
5027,0,0,0,13271,2409
5039,0,0,0,13270,2410
5048,0,0,0,13269,2411
5052,0,0,0,13261,2419
5056,0,0,0,13245,2435
5056,0,0,0,13244,2436
5062,0,0,0,13212,2468
5065,0,0,0,13196,2484
5078,0,0,0,13204,2476
5085,0,0,0,13188,2492
5090,0,0,0,13172,2508
5104,0,0,0,12916,2764
5115,0,0,0,12660,3020
5118,0,0,0,12404,3276
5123,0,0,0,12403,3277
5139,0,0,0,12402,3278
5149,0,0,0,12401,3279
5156,0,0,0,12400,3280
5159,0,0,0,12399,3281
5189,0,0,0,12398,3282
5209,0,0,0,12334,3346
5266,0,0,0,12302,3378
5283,0,0,0,12298,3382
5317,0,0,0,12290,3390
5323,0,0,0,12546,3134
5326,0,0,0,12545,3135
5352,0,0,0,12546,3134
5355,0,0,0,12545,3135
5412,0,0,0,12544,3136
5419,0,0,0,12543,3137
5500,0,0,0,12287,3393
5529,0,0,0,12286,3394
5557,0,0,0,12285,3395
5592,0,0,0,12253,3427
5623,0,0,0,12249,3431
5652,0,0,0,12248,3432
5682,0,0,0,12247,3433
5710,0,0,0,12248,3432
5747,0,0,0,11992,3688
5837,0,0,0,12008,3672
5870,0,0,0,11992,3688
5872,0,0,0,11993,3687
5938,0,0,0,11994,3686
5949,0,0,0,11978,3702
5949,0,0,0,11974,3706
5949,0,0,0,11973,3707
5953,0,0,0,11972,3708
5989,0,0,0,11988,3692
5991,0,0,0,11732,3948
5998,0,0,0,11860,3820
6003,0,0,0,11604,4076
6032,0,0,0,11605,4075
6085,0,0,0,11609,4071
6108,0,0,0,11610,4070
6115,0,0,0,11618,4062
6171,0,0,0,11682,3998
6178,0,0,0,11698,3982
6207,0,0,0,11702,3978
6350,0,0,0,11830,3850
6485,0,0,0,11834,3846
6500,0,0,0,12090,3590
6513,0,0,0,12091,3589
6520,0,0,0,12092,3588
6545,0,0,0,12091,3589
6553,0,0,0,12092,3588
6622,0,0,0,12091,3589
6632,0,0,0,12090,3590
6640,0,0,0,12091,3589
6643,0,0,0,12087,3593
